EMBARCACIONES,CANTIDAD,MES,Year
CLANDESTINAS,9,JULIO,2018
MATRICULADAS,6,JULIO,2018
FIBRA DE VIDRIO,2,JULIO,2018
HAITIANAS,2,JULIO,2018
CAYUCOS,2,JULIO,2018
GO FAST,2,JULIO,2018
CLANDESTINAS,15,AGOSTO ,2018
MATRICULADAS,1,AGOSTO ,2018
FIBRA DE VIDRIO,2,AGOSTO ,2018
GO FAST,2,AGOSTO ,2018
CAYUCOS,1,AGOSTO ,2018
CLANDESTINAS,14,SEPTIEMBRE,2018
MATRICULADAS,4,SEPTIEMBRE,2018
FIBRA DE VIDRIO,3,SEPTIEMBRE,2018
HAITIANAS,5,SEPTIEMBRE,2018
CAYUCOS,3,SEPTIEMBRE,2018
SEMISUMERGIBLE,1,SEPTIEMBRE,2018
CLANDESTINAS,15,OCTUBRE ,2018
MATRICULADAS,8,OCTUBRE ,2018
FIBRA DE VIDRIO,6,OCTUBRE ,2018
HAITIANAS,4,OCTUBRE ,2018
GO FAST,1,OCTUBRE ,2018
CAYUCOS,3,OCTUBRE ,2018
CLANDESTINAS,13,NOVIEMBRE ,2018
MATRICULADAS,7,NOVIEMBRE ,2018
FIBRA DE VIDRIO,7,NOVIEMBRE ,2018
HAITIANAS,1,NOVIEMBRE ,2018
CAYUCOS,4,NOVIEMBRE ,2018
CLANDESTINAS,8,DICIEMBRE,2018
MATRICULADAS,10,DICIEMBRE,2018
FIBRA DE VIDRIO,8,DICIEMBRE,2018
HAITIANAS,1,DICIEMBRE,2018
CAYUCOS,2,DICIEMBRE,2018
CLANDESTINAS,10,ENERO,2019
MATRICULADAS,15,ENERO,2019
FIBRA DE VIDRIO,8,ENERO,2019
HAITIANAS,1,ENERO,2019
CLANDESTINAS,11,FEBRERO,2019
MATRICULADAS,11,FEBRERO,2019
FIBRA DE VIDRIO,5,FEBRERO,2019
HAITIANAS,4,FEBRERO,2019
GO FAST,1,FEBRERO,2019
CAYUCOS,1,FEBRERO,2019
CLANDESTINAS,17,MARZO,2019
MATRICULADAS,8,MARZO,2019
FIBRA DE VIDRIO,10,MARZO,2019
GO FAST,1,MARZO,2019
CAYUCOS ,5,MARZO,2019
CLANDESTINAS,18,ABRIL,2019
MATRICULADAS,11,ABRIL,2019
FIBRA DE VIDRIO,4,ABRIL,2019
GO FAST,2,ABRIL,2019
CLANDESTINAS,16,MAYO,2019
MATRICULADAS,9,MAYO,2019
FIBRA DE VIDRIO,6,MAYO,2019
HAITIANAS,4,MAYO,2019
CAYUCOS,5,MAYO,2019
CLANDESTINAS,9,JUNIO,2019
MATRICULADAS,4,JUNIO,2019
FIBRA DE VIDRIO,6,JUNIO,2019
HAITIANOS,4,JUNIO,2019
CAYUCOS,3,JUNIO,2019
CLANDESTINAS,9,JULIO,2019
MATRICULADAS,6,JULIO,2019
FIBRA DE VIDRIO,2,JULIO,2019
HAITIANAS,2,JULIO,2019
CAYUCOS,2,JULIO,2019
GO FAST,2,JULIO,2019
CLANDESTINAS,15,AGOSTO ,2019
MATRICULADAS,1,AGOSTO ,2019
FIBRA DE VIDRIO,2,AGOSTO ,2019
GO FAST,2,AGOSTO ,2019
CAYUCOS,1,AGOSTO ,2019
CLANDESTINAS,14,SEPTIEMBRE,2019
MATRICULADAS,4,SEPTIEMBRE,2019
FIBRA DE VIDRIO,3,SEPTIEMBRE,2019
HAITIANAS,5,SEPTIEMBRE,2019
CAYUCOS,3,SEPTIEMBRE,2019
SEMISUMERGIBLE,1,SEPTIEMBRE,2019
CLANDESTINAS,15,OCTUBRE ,2019
MATRICULADAS,8,OCTUBRE ,2019
FIBRA DE VIDRIO,6,OCTUBRE ,2019
HAITIANAS,4,OCTUBRE ,2019
GO FAST,1,OCTUBRE ,2019
CAYUCOS,3,OCTUBRE ,2019
CLANDESTINAS,13,NOVIEMBRE ,2019
MATRICULADAS,7,NOVIEMBRE ,2019
FIBRA DE VIDRIO,7,NOVIEMBRE ,2019
HAITIANAS,1,NOVIEMBRE ,2019
